logical_id,event_datetime,reviewer,event_type,gate,criterion_before,criterion_after,notes,evidence_path
834_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
835_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
847_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
862_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
885_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
919_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
920_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
928_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
967_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
973_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
979_SCOPUS,2026-08-15 16:08:46,HB,PROVENIENCIA,A,,E1,Momento reconstruido. Fonte: horario da varredura E1 em lote (registros sem autor e sem DOI). Metodo completo no evento global de 2026-08-16 00:05:00.,
002_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
003_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
004_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
005_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
011_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
028_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
032_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
057_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
060_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
068_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
092_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
093_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
102_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
131_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
134_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
158_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
165_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
178_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
193_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
210_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
216_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
235_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
260_ACM,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
455_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
457_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
458_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
459_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
460_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
461_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
462_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
463_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
464_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
465_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
466_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
469_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
470_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
471_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
472_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
473_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
474_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
475_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
476_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
477_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
478_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
479_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
480_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
481_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
482_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
483_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
484_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
485_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
487_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
488_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
489_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
491_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
492_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
497_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
498_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
500_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
502_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
503_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
504_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
505_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
510_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
513_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
515_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
519_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
525_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
529_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
533_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
536_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
537_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
540_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
545_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
547_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
548_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
555_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
558_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
572_IEEE,2026-08-15 18:25:58,HB,PROVENIENCIA,A,,E3,Momento reconstruido. Fonte: horario da varredura E3 em lote (deduplicacao por DOI e titulo normalizado). Metodo completo no evento global de 2026-08-16 00:05:00.,
